fragment_formula,fragment_mass,polarity,reference
C6F5- ,166.992566,neg,Koelmel et al. 2022
C5H5F2SO2- ,166.9983814,neg,Koelmel et al. 2022
C3F7- ,168.9893724,neg,Koelmel et al. 2022
C5F5O- ,170.987481,neg,Koelmel et al. 2022
C6H4O4S- ,171.9835804,neg,Koelmel et al. 2022
C7F3S- ,172.9678316,neg,Koelmel et al. 2022
C3H2F3SO3- ,174.9682258,neg,Koelmel et al. 2022
C6H3F2SO2- ,176.9827322,neg,Koelmel et al. 2022
C4HF6O- ,178.9937088,neg,Koelmel et al. 2022
C4H4SF5- ,178.9959364,neg,Koelmel et al. 2022
C2F4SO3- ,179.9509798,neg,Koelmel et al. 2022
C2HF4SO3- ,180.9588044,neg,Koelmel et al. 2022
C4F7- ,180.9893724,neg,Koelmel et al. 2022
C5H12NO4S- ,182.0492512,neg,Koelmel et al. 2022
C2F5SO2- ,182.954468,neg,Koelmel et al. 2022
C6H3F4S- ,182.9897086,neg,Koelmel et al. 2022
C5H12FN2O2S- ,183.0608984,neg,Koelmel et al. 2022
C4H3F2SO4- ,184.9725622,neg,Koelmel et al. 2022
C3F7O- ,184.9842874,neg,Koelmel et al. 2022
C6HF6- ,186.9987938,neg,Koelmel et al. 2022
C5H6F3SO2- ,187.0046092,neg,Koelmel et al. 2022
C4H5F3NO2S- ,187.9998586,neg,Koelmel et al. 2022
C5H2SF5- ,188.9802872,neg,Koelmel et al. 2022
C4H6F3NO2S- ,189.0076832,neg,Koelmel et al. 2022
C3HF4SO3- ,192.9588044,neg,Koelmel et al. 2022
C7HF4S- ,192.9740594,neg,Koelmel et al. 2022
C5F7- ,192.9893724,neg,Koelmel et al. 2022
C5H3F6O- ,193.009358,neg,Koelmel et al. 2022
C6H14N2O3S- ,194.0730594,neg,Koelmel et al. 2022
C6H14NO4S- ,196.0649004,neg,Koelmel et al. 2022
C4F7O- ,196.9842874,neg,Koelmel et al. 2022
C6H4F3SO2- ,196.98896,neg,Koelmel et al. 2022
C2HF5NO2S- ,197.9653666,neg,Koelmel et al. 2022
C2F5SO3- ,198.949383,neg,Koelmel et al. 2022
C3O2F7- ,200.9792024,neg,Koelmel et al. 2022
C6H8O2SF3- ,201.0202584,neg,Koelmel et al. 2022
C4H4F3SO4- ,204.97879,neg,Koelmel et al. 2022
C6F7- ,204.9893724,neg,Koelmel et al. 2022
C7H12O4NS- ,206.0492512,neg,Koelmel et al. 2022
F5S2O3- ,206.921455,neg,Koelmel et al. 2022
C5F7O- ,208.9842874,neg,Koelmel et al. 2022
C5H3SF6- ,208.986515,neg,Koelmel et al. 2022
C3F5SO3- ,210.949383,neg,Koelmel et al. 2022
C3H3F5NO2S- ,211.9810158,neg,Koelmel et al. 2022
C3H2F5SO3- ,212.9650322,neg,Koelmel et al. 2022
C4F7O2- ,212.9792024,neg,Koelmel et al. 2022
C7H2F5S- ,212.9802872,neg,Koelmel et al. 2022
C7F7- ,216.9893724,neg,Koelmel et al. 2022
C6H5F4SO2- ,216.9951878,neg,Koelmel et al. 2022
C5H8F3N2O2S- ,217.0264064,neg,Koelmel et al. 2022
C4F9- ,218.9861788,neg,Koelmel et al. 2022
C4F9- ,218.9861788,neg,Koelmel et al. 2022
C6F7O- ,220.9842874,neg,Koelmel et al. 2022
C8F5S- ,222.964638,neg,Koelmel et al. 2022
C7H15N2O4S- ,223.075799,neg,Koelmel et al. 2022
C4H2F5SO3- ,224.9650322,neg,Koelmel et al. 2022
C4H5F4O4S- ,224.9850178,neg,Koelmel et al. 2022
C7H3F4SO2- ,226.9795386,neg,Koelmel et al. 2022
C5HF8O- ,228.9905152,neg,Koelmel et al. 2022
C5H4SF7- ,228.9927428,neg,Koelmel et al. 2022
C3F6SO3- ,229.9477862,neg,Koelmel et al. 2022
C3HF6SO3- ,230.9556108,neg,Koelmel et al. 2022
C5F9- ,230.9861788,neg,Koelmel et al. 2022
C3F7SO2- ,232.9512744,neg,Koelmel et al. 2022
C7H3F6S- ,232.986515,neg,Koelmel et al. 2022
C7H3F6S- ,232.986515,neg,Koelmel et al. 2022
C6H8F3O4S- ,233.0100884,neg,Koelmel et al. 2022
C6H12F3N2O2S- ,233.0577048,neg,Koelmel et al. 2022
C5H9F3O3N2S- ,234.029146,neg,Koelmel et al. 2022
C4F9O- ,234.9810938,neg,Koelmel et al. 2022
C7HF8- ,236.9956002,neg,Koelmel et al. 2022
C6H6F5SO2- ,237.0014156,neg,Koelmel et al. 2022
C5H5F5NO2S- ,237.996665,neg,Koelmel et al. 2022
C6H2SF7- ,238.9770936,neg,Koelmel et al. 2022
C5H6F5NO2S- ,239.0044896,neg,Koelmel et al. 2022
C6H11NO5S2- ,241.0084136,neg,Koelmel et al. 2022
C4HF6SO3- ,242.9556108,neg,Koelmel et al. 2022
C8HF6S- ,242.9708658,neg,Koelmel et al. 2022
C6F9- ,242.9861788,neg,Koelmel et al. 2022
C6H3F8O- ,243.0061644,neg,Koelmel et al. 2022
C6H3F4SO4- ,246.9693686,neg,Koelmel et al. 2022
C5F9O- ,246.9810938,neg,Koelmel et al. 2022
C5F9O- ,246.9810938,neg,Koelmel et al. 2022
C7H4F5SO2- ,246.9857664,neg,Koelmel et al. 2022
C3HF7NO2S- ,247.962173,neg,Koelmel et al. 2022
C3F7SO3- ,248.9461894,neg,Koelmel et al. 2022
C7H8O2SF5- ,251.0170648,neg,Koelmel et al. 2022
C7F9- ,254.9861788,neg,Koelmel et al. 2022
C7H14O5NS2- ,256.0318874,neg,Koelmel et al. 2022
CF7S2O3- ,256.9182614,neg,Koelmel et al. 2022
C6F9O- ,258.9810938,neg,Koelmel et al. 2022
C6H3SF8- ,258.9833214,neg,Koelmel et al. 2022
C4F7SO3- ,260.9461894,neg,Koelmel et al. 2022
C4H3F7NO2S- ,261.9778222,neg,Koelmel et al. 2022
C4H2F7SO3- ,262.9618386,neg,Koelmel et al. 2022
C5F9O2- ,262.9760088,neg,Koelmel et al. 2022
C8H2F7S- ,262.9770936,neg,Koelmel et al. 2022
C7H14F3N2O3S- ,263.068269,neg,Koelmel et al. 2022
C6H4F5SO4- ,266.9755964,neg,Koelmel et al. 2022
C8F9- ,266.9861788,neg,Koelmel et al. 2022
C7H5F6SO2- ,266.9919942,neg,Koelmel et al. 2022
C6H8F5N2O2S- ,267.0232128,neg,Koelmel et al. 2022
C9H17O4NS2- ,267.0604462,neg,Koelmel et al. 2022
C5F11- ,268.9829852,neg,Koelmel et al. 2022
C7F9O- ,270.9810938,neg,Koelmel et al. 2022
C9F7S- ,272.9614444,neg,Koelmel et al. 2022
C5H2F7SO3- ,274.9618386,neg,Koelmel et al. 2022
C8H3F6SO2- ,276.976345,neg,Koelmel et al. 2022
C6HF10O- ,278.9873216,neg,Koelmel et al. 2022
C6H4SF9- ,278.9895492,neg,Koelmel et al. 2022
C4F8SO3- ,279.9445926,neg,Koelmel et al. 2022
C4HF8SO3- ,280.9524172,neg,Koelmel et al. 2022
C6F11- ,280.9829852,neg,Koelmel et al. 2022
C4F9SO2- ,282.9480808,neg,Koelmel et al. 2022
C8H3F8S- ,282.9833214,neg,Koelmel et al. 2022
C8H3F8S- ,282.9833214,neg,Koelmel et al. 2022
C7H8F5O4S- ,283.0068948,neg,Koelmel et al. 2022
C7H12F5N2O2S- ,283.0545112,neg,Koelmel et al. 2022
C9H17O5NS2- ,283.0553612,neg,Koelmel et al. 2022
C6H9F5O3N2S- ,284.0259524,neg,Koelmel et al. 2022
C5F11O- ,284.9779002,neg,Koelmel et al. 2022
C8H18N2O5S2- ,286.0662598,neg,Koelmel et al. 2022
C6H5F6O4S- ,286.9818242,neg,Koelmel et al. 2022
C8HF10- ,286.9924066,neg,Koelmel et al. 2022
C7H6F7SO2- ,286.998222,neg,Koelmel et al. 2022
C6H5F7NO2S- ,287.9934714,neg,Koelmel et al. 2022
C7H2SF9- ,288.9739,neg,Koelmel et al. 2022
C6H6F7NO2S- ,289.001296,neg,Koelmel et al. 2022
C5HF8SO3- ,292.9524172,neg,Koelmel et al. 2022
C9HF8S- ,292.9676722,neg,Koelmel et al. 2022
C7F11- ,292.9829852,neg,Koelmel et al. 2022
C7H3F10O- ,293.0029708,neg,Koelmel et al. 2022
C6F11O- ,296.9779002,neg,Koelmel et al. 2022
C8H4F7SO2- ,296.9825728,neg,Koelmel et al. 2022
C4HF9NO2S- ,297.9589794,neg,Koelmel et al. 2022
C4F9SO3- ,298.9429958,neg,Koelmel et al. 2022
C8H8O2SF7- ,301.0138712,neg,Koelmel et al. 2022
C8H18N2O6S2- ,302.0611748,neg,Koelmel et al. 2022
C8F11- ,304.9829852,neg,Koelmel et al. 2022
C2F9S2O3- ,306.9150678,neg,Koelmel et al. 2022
C8H3F6SO4- ,308.966175,neg,Koelmel et al. 2022
C7F11O- ,308.9779002,neg,Koelmel et al. 2022
C7H3SF10- ,308.9801278,neg,Koelmel et al. 2022
C7H11F3NO5S2- ,310.0036232,neg,Koelmel et al. 2022
C5F9SO3- ,310.9429958,neg,Koelmel et al. 2022
C5H3F9NO2S- ,311.9746286,neg,Koelmel et al. 2022
C5H2F9SO3- ,312.958645,neg,Koelmel et al. 2022
C6F11O2- ,312.9728152,neg,Koelmel et al. 2022
C9H2F9S- ,312.9739,neg,Koelmel et al. 2022
C8H14F5N2O3S- ,313.0650754,neg,Koelmel et al. 2022
C9H20N2O6S2- ,316.076824,neg,Koelmel et al. 2022
C9F11- ,316.9829852,neg,Koelmel et al. 2022
