fragment_formula,fragment_mass,polarity,reference
C11H2SF17- ,488.9611256,neg,Koelmel et al. 2022
C10H6F15NO2S- ,488.9885216,neg,Koelmel et al. 2022
C9HF16SO3- ,492.9396428,neg,Koelmel et al. 2022
C13HF16S- ,492.9548978,neg,Koelmel et al. 2022
C11F19- ,492.9702108,neg,Koelmel et al. 2022
C11H3F18O- ,492.9901964,neg,Koelmel et al. 2022
C14H3F12SO4- ,494.9565942,neg,Koelmel et al. 2022
C10F19O- ,496.9651258,neg,Koelmel et al. 2022
C10F19O- ,496.9651258,neg,Koelmel et al. 2022
C12H4F15SO2- ,496.9697984,neg,Koelmel et al. 2022
C8HF17NO2S- ,497.946205,neg,Koelmel et al. 2022
C8F17SO3- ,498.9302214,neg,Koelmel et al. 2022
C12H8O2SF15- ,501.0010968,neg,Koelmel et al. 2022
C13H17F9O5NS2- ,502.04099,neg,Koelmel et al. 2022
C13H4F13O4S ,502.962822,neg,Koelmel et al. 2022
C12F19- ,504.9702108,neg,Koelmel et al. 2022
C12H18F9N2O5S2- ,505.0518886,neg,Koelmel et al. 2022
C6F17S2O3- ,506.9022934,neg,Koelmel et al. 2022
C11F19O- ,508.9651258,neg,Koelmel et al. 2022
C11H3SF18- ,508.9673534,neg,Koelmel et al. 2022
C11H11F11NO5S2- ,509.9908488,neg,Koelmel et al. 2022
C9F17SO3- ,510.9302214,neg,Koelmel et al. 2022
C9H3F17NO2S- ,511.9618542,neg,Koelmel et al. 2022
C9H2F17SO3- ,512.9458706,neg,Koelmel et al. 2022
C10F19O2- ,512.9600408,neg,Koelmel et al. 2022
C13H2F17S- ,512.9611256,neg,Koelmel et al. 2022
C12H14F13N2O3S- ,513.052301,neg,Koelmel et al. 2022
C14H4F13O4S- ,514.962822,neg,Koelmel et al. 2022
C14H4F13SO4- ,514.962822,neg,Koelmel et al. 2022
C13F19- ,516.9702108,neg,Koelmel et al. 2022
C12H5F16SO2- ,516.9760262,neg,Koelmel et al. 2022
C11H8F15N2O2S- ,517.0072448,neg,Koelmel et al. 2022
C10F21- ,518.9670172,neg,Koelmel et al. 2022
C12F19O- ,520.9651258,neg,Koelmel et al. 2022
C12H18F9N2O6S2- ,521.0468036,neg,Koelmel et al. 2022
C14F17S- ,522.9454764,neg,Koelmel et al. 2022
C10H2F17SO3- ,524.9458706,neg,Koelmel et al. 2022
C13H3F16SO2- ,526.960377,neg,Koelmel et al. 2022
C11HF20O- ,528.9713536,neg,Koelmel et al. 2022
C11H4SF19- ,528.9735812,neg,Koelmel et al. 2022
C9F18SO3- ,529.9286246,neg,Koelmel et al. 2022
C9HF18SO3- ,530.9364492,neg,Koelmel et al. 2022
C11F21- ,530.9670172,neg,Koelmel et al. 2022
C9F19SO2- ,532.9321128,neg,Koelmel et al. 2022
C13H3F18S- ,532.9673534,neg,Koelmel et al. 2022
C12H8F15O4S- ,532.9909268,neg,Koelmel et al. 2022
C12H12F15N2O2S- ,533.0385432,neg,Koelmel et al. 2022
C11H9F15O3N2S- ,534.0099844,neg,Koelmel et al. 2022
C10F21O- ,534.9619322,neg,Koelmel et al. 2022
C14H5F14O4S- ,534.9690498,neg,Koelmel et al. 2022
C13H20F9N2O6S2- ,535.0624528,neg,Koelmel et al. 2022
C14H17F11O4NS2- ,536.0428814,neg,Koelmel et al. 2022
C13HF20- ,536.9764386,neg,Koelmel et al. 2022
C12H6F17SO2- ,536.982254,neg,Koelmel et al. 2022
C11H5F17NO2S- ,537.9775034,neg,Koelmel et al. 2022
C12H2SF19- ,538.957932,neg,Koelmel et al. 2022
C11H6F17NO2S- ,538.985328,neg,Koelmel et al. 2022
C10HF18SO3- ,542.9364492,neg,Koelmel et al. 2022
C14HF18S- ,542.9517042,neg,Koelmel et al. 2022
C12F21- ,542.9670172,neg,Koelmel et al. 2022
C12H3F20O- ,542.9870028,neg,Koelmel et al. 2022
C11F21O- ,546.9619322,neg,Koelmel et al. 2022
C11F21O- ,546.9619322,neg,Koelmel et al. 2022
C13H4F17SO2- ,546.9666048,neg,Koelmel et al. 2022
C9HF19NO2S- ,547.9430114,neg,Koelmel et al. 2022
C9F19SO3- ,548.9270278,neg,Koelmel et al. 2022
C13H8O2SF17- ,550.9979032,neg,Koelmel et al. 2022
C14H17F11O5NS2- ,552.0377964,neg,Koelmel et al. 2022
C14H4F15O4S ,552.9596284,neg,Koelmel et al. 2022
C13F21- ,554.9670172,neg,Koelmel et al. 2022
C13H18F11N2O5S2- ,555.048695,neg,Koelmel et al. 2022
C7F19S2O3- ,556.8990998,neg,Koelmel et al. 2022
C16H3F14SO4- ,556.9534006,neg,Koelmel et al. 2022
C12F21O- ,558.9619322,neg,Koelmel et al. 2022
C12H3SF20- ,558.9641598,neg,Koelmel et al. 2022
C12H11F13NO5S2- ,559.9876552,neg,Koelmel et al. 2022
C10F19SO3- ,560.9270278,neg,Koelmel et al. 2022
C10H3F19NO2S- ,561.9586606,neg,Koelmel et al. 2022
C10H2F19SO3- ,562.942677,neg,Koelmel et al. 2022
C11F21O2- ,562.9568472,neg,Koelmel et al. 2022
C14H2F19S- ,562.957932,neg,Koelmel et al. 2022
C13H14F15N2O3S- ,563.0491074,neg,Koelmel et al. 2022
C15H4F15O4S- ,564.9596284,neg,Koelmel et al. 2022
C14F21- ,566.9670172,neg,Koelmel et al. 2022
C13H5F18SO2- ,566.9728326,neg,Koelmel et al. 2022
C12H8F17N2O2S- ,567.0040512,neg,Koelmel et al. 2022
C11F23- ,568.9638236,neg,Koelmel et al. 2022
C13F21O- ,570.9619322,neg,Koelmel et al. 2022
C13H18F11N2O6S2- ,571.04361,neg,Koelmel et al. 2022
C15F19S- ,572.9422828,neg,Koelmel et al. 2022
C11H2F19SO3- ,574.942677,neg,Koelmel et al. 2022
C14H3F18SO2- ,576.9571834,neg,Koelmel et al. 2022
C16H4F15SO4- ,576.9596284,neg,Koelmel et al. 2022
C12HF22O- ,578.96816,neg,Koelmel et al. 2022
C12H4SF21- ,578.9703876,neg,Koelmel et al. 2022
C10F20SO3- ,579.925431,neg,Koelmel et al. 2022
C10HF20SO3- ,580.9332556,neg,Koelmel et al. 2022
C12F23- ,580.9638236,neg,Koelmel et al. 2022
C10F21SO2- ,582.9289192,neg,Koelmel et al. 2022
C14H3F20S- ,582.9641598,neg,Koelmel et al. 2022
C14H3F20S- ,582.9641598,neg,Koelmel et al. 2022
C13H8F17O4S- ,582.9877332,neg,Koelmel et al. 2022
C13H12F17N2O2S- ,583.0353496,neg,Koelmel et al. 2022
C12H9F17O3N2S- ,584.0067908,neg,Koelmel et al. 2022
C11F23O- ,584.9587386,neg,Koelmel et al. 2022
C14H20F11N2O6S2- ,585.0592592,neg,Koelmel et al. 2022
C15H17F13O4NS2- ,586.0396878,neg,Koelmel et al. 2022
C14HF22- ,586.973245,neg,Koelmel et al. 2022
C13H6F19SO2- ,586.9790604,neg,Koelmel et al. 2022
C12H5F19NO2S- ,587.9743098,neg,Koelmel et al. 2022
C13H2SF21- ,588.9547384,neg,Koelmel et al. 2022
C12H6F19NO2S- ,588.9821344,neg,Koelmel et al. 2022
C11HF20SO3- ,592.9332556,neg,Koelmel et al. 2022
C15HF20S- ,592.9485106,neg,Koelmel et al. 2022
C13F23- ,592.9638236,neg,Koelmel et al. 2022
C13H3F22O- ,592.9838092,neg,Koelmel et al. 2022
C12F23O- ,596.9587386,neg,Koelmel et al. 2022
C14H4F19SO2- ,596.9634112,neg,Koelmel et al. 2022
C16H5F16O4S- ,596.9658562,neg,Koelmel et al. 2022
C10HF21NO2S- ,597.9398178,neg,Koelmel et al. 2022
C10F21SO3- ,598.9238342,neg,Koelmel et al. 2022
C14H8O2SF19- ,600.9947096,neg,Koelmel et al. 2022
C15H17F13O5NS2- ,602.0346028,neg,Koelmel et al. 2022
C15H4F17O4S ,602.9564348,neg,Koelmel et al. 2022
C14F23- ,604.9638236,neg,Koelmel et al. 2022
C14H18F13N2O5S2- ,605.0455014,neg,Koelmel et al. 2022
C8F21S2O3- ,606.8959062,neg,Koelmel et al. 2022
C13F23O- ,608.9587386,neg,Koelmel et al. 2022
C13H3SF22- ,608.9609662,neg,Koelmel et al. 2022
C13H11F15NO5S2- ,609.9844616,neg,Koelmel et al. 2022
C11F21SO3- ,610.9238342,neg,Koelmel et al. 2022
C11H3F21NO2S- ,611.955467,neg,Koelmel et al. 2022
C11H2F21SO3- ,612.9394834,neg,Koelmel et al. 2022
C12F23O2- ,612.9536536,neg,Koelmel et al. 2022
C15H2F21S- ,612.9547384,neg,Koelmel et al. 2022
C14H14F17N2O3S- ,613.0459138,neg,Koelmel et al. 2022
C16H4F17O4S- ,614.9564348,neg,Koelmel et al. 2022
C15F23- ,616.9638236,neg,Koelmel et al. 2022
C14H5F20SO2- ,616.969639,neg,Koelmel et al. 2022
C13H8F19N2O2S- ,617.0008576,neg,Koelmel et al. 2022
C18H3F16SO4- ,618.950207,neg,Koelmel et al. 2022
C12F25- ,618.96063,neg,Koelmel et al. 2022
C14F23O- ,620.9587386,neg,Koelmel et al. 2022
C14H18F13N2O6S2- ,621.0404164,neg,Koelmel et al. 2022
C16F21S- ,622.9390892,neg,Koelmel et al. 2022
C12H2F21SO3- ,624.9394834,neg,Koelmel et al. 2022
C15H3F20SO2- ,626.9539898,neg,Koelmel et al. 2022
C13HF24O- ,628.9649664,neg,Koelmel et al. 2022
C13H4SF23- ,628.967194,neg,Koelmel et al. 2022
C11F22SO3- ,629.9222374,neg,Koelmel et al. 2022
C11HF22SO3- ,630.930062,neg,Koelmel et al. 2022
C13F25- ,630.96063,neg,Koelmel et al. 2022
C11F23SO2- ,632.9257256,neg,Koelmel et al. 2022
C15H3F22S- ,632.9609662,neg,Koelmel et al. 2022
C14H8F19O4S- ,632.9845396,neg,Koelmel et al. 2022
C14H12F19N2O2S- ,633.032156,neg,Koelmel et al. 2022
C13H9F19O3N2S- ,634.0035972,neg,Koelmel et al. 2022
C12F25O- ,634.955545,neg,Koelmel et al. 2022
C15H20F13N2O6S2- ,635.0560656,neg,Koelmel et al. 2022
C16H17F15O4NS2- ,636.0364942,neg,Koelmel et al. 2022
C15HF24- ,636.9700514,neg,Koelmel et al. 2022
C14H6F21SO2- ,636.9758668,neg,Koelmel et al. 2022
C13H5F21NO2S- ,637.9711162,neg,Koelmel et al. 2022
C14H2SF23- ,638.9515448,neg,Koelmel et al. 2022
C18H4F17SO4- ,638.9564348,neg,Koelmel et al. 2022
C13H6F21NO2S- ,638.9789408,neg,Koelmel et al. 2022
C12HF22SO3- ,642.930062,neg,Koelmel et al. 2022
C16HF22S- ,642.945317,neg,Koelmel et al. 2022
C14F25- ,642.96063,neg,Koelmel et al. 2022
C14H3F24O- ,642.9806156,neg,Koelmel et al. 2022
C13F25O- ,646.955545,neg,Koelmel et al. 2022
C13F25O- ,646.955545,neg,Koelmel et al. 2022
C15H4F21SO2- ,646.9602176,neg,Koelmel et al. 2022
C11HF23NO2S- ,647.9366242,neg,Koelmel et al. 2022
C11F23SO3- ,648.9206406,neg,Koelmel et al. 2022
C15H8O2SF21- ,650.991516,neg,Koelmel et al. 2022
C16H17F15O5NS2- ,652.0314092,neg,Koelmel et al. 2022
C16H4F19O4S ,652.9532412,neg,Koelmel et al. 2022
C15F25- ,654.96063,neg,Koelmel et al. 2022
C15H18F15N2O5S2- ,655.0423078,neg,Koelmel et al. 2022
C9F23S2O3- ,656.8927126,neg,Koelmel et al. 2022
C14F25O- ,658.955545,neg,Koelmel et al. 2022
C14F25O- ,658.955545,neg,Koelmel et al. 2022
C14H3SF24- ,658.9577726,neg,Koelmel et al. 2022
C18H5F18O4S- ,658.9626626,neg,Koelmel et al. 2022
C14H11F17NO5S2- ,659.981268,neg,Koelmel et al. 2022
C12F23SO3- ,660.9206406,neg,Koelmel et al. 2022
C12H3F23NO2S- ,661.9522734,neg,Koelmel et al. 2022
C12H2F23SO3- ,662.9362898,neg,Koelmel et al. 2022
C13F25O2- ,662.95046,neg,Koelmel et al. 2022
C16H2F23S- ,662.9515448,neg,Koelmel et al. 2022
C15H14F19N2O3S- ,663.0427202,neg,Koelmel et al. 2022
C17H4F19O4S- ,664.9532412,neg,Koelmel et al. 2022
C16F25- ,666.96063,neg,Koelmel et al. 2022
C15H5F22SO2- ,666.9664454,neg,Koelmel et al. 2022
C14H8F21N2O2S- ,666.997664,neg,Koelmel et al. 2022
C13F27- ,668.9574364,neg,Koelmel et al. 2022
C15F25O- ,670.955545,neg,Koelmel et al. 2022
C15H18F15N2O6S2- ,671.0372228,neg,Koelmel et al. 2022
C17F23S- ,672.9358956,neg,Koelmel et al. 2022
C13H2F23SO3- ,674.9362898,neg,Koelmel et al. 2022
C16H3F22SO2- ,676.9507962,neg,Koelmel et al. 2022
C14HF26O- ,678.9617728,neg,Koelmel et al. 2022
C14H4SF25- ,678.9640004,neg,Koelmel et al. 2022
C12F24SO3- ,679.9190438,neg,Koelmel et al. 2022
C12HF24SO3- ,680.9268684,neg,Koelmel et al. 2022
C20H3F18SO4- ,680.9470134,neg,Koelmel et al. 2022
C14F27- ,680.9574364,neg,Koelmel et al. 2022
C12F25SO2- ,682.922532,neg,Koelmel et al. 2022
C16H3F24S- ,682.9577726,neg,Koelmel et al. 2022
C15H8F21O4S- ,682.981346,neg,Koelmel et al. 2022
C15H12F21N2O2S- ,683.0289624,neg,Koelmel et al. 2022
C14H9F21O3N2S- ,684.0004036,neg,Koelmel et al. 2022
C13F27O- ,684.9523514,neg,Koelmel et al. 2022
C16H20F15N2O6S2- ,685.052872,neg,Koelmel et al. 2022
C17H17F17O4NS2- ,686.0333006,neg,Koelmel et al. 2022
C16HF26- ,686.9668578,neg,Koelmel et al. 2022
C15H6F23SO2- ,686.9726732,neg,Koelmel et al. 2022
C14H5F23NO2S- ,687.9679226,neg,Koelmel et al. 2022
C15H2SF25- ,688.9483512,neg,Koelmel et al. 2022
C14H6F23NO2S- ,688.9757472,neg,Koelmel et al. 2022
C13HF24SO3- ,692.9268684,neg,Koelmel et al. 2022
C17HF24S- ,692.9421234,neg,Koelmel et al. 2022
C15F27- ,692.9574364,neg,Koelmel et al. 2022
C15H3F26O- ,692.977422,neg,Koelmel et al. 2022
C14F27O- ,696.9523514,neg,Koelmel et al. 2022
C14F27O- ,696.9523514,neg,Koelmel et al. 2022
C16H4F23SO2- ,696.957024,neg,Koelmel et al. 2022
C12HF25NO2S- ,697.9334306,neg,Koelmel et al. 2022
C12F25SO3- ,698.917447,neg,Koelmel et al. 2022
C20H4F19SO4- ,700.9532412,neg,Koelmel et al. 2022
C16H8O2SF23- ,700.9883224,neg,Koelmel et al. 2022
C17H17F17O5NS2- ,702.0282156,neg,Koelmel et al. 2022
C17H4F21O4S ,702.9500476,neg,Koelmel et al. 2022
C16F27- ,704.9574364,neg,Koelmel et al. 2022
C16H18F17N2O5S2- ,705.0391142,neg,Koelmel et al. 2022
C10F25S2O3- ,706.889519,neg,Koelmel et al. 2022
C15F27O- ,708.9523514,neg,Koelmel et al. 2022
C15F27O- ,708.9523514,neg,Koelmel et al. 2022
C15H3SF26- ,708.954579,neg,Koelmel et al. 2022
C15H11F19NO5S2- ,709.9780744,neg,Koelmel et al. 2022
C13F25SO3- ,710.917447,neg,Koelmel et al. 2022
C13H3F25NO2S- ,711.9490798,neg,Koelmel et al. 2022
C13H2F25SO3- ,712.9330962,neg,Koelmel et al. 2022
C14F27O2- ,712.9472664,neg,Koelmel et al. 2022
C17H2F25S- ,712.9483512,neg,Koelmel et al. 2022
C16H14F21N2O3S- ,713.0395266,neg,Koelmel et al. 2022
C18H4F21O4S- ,714.9500476,neg,Koelmel et al. 2022
C17F27- ,716.9574364,neg,Koelmel et al. 2022
C16H5F24SO2- ,716.9632518,neg,Koelmel et al. 2022
C15H8F23N2O2S- ,716.9944704,neg,Koelmel et al. 2022
C14F29- ,718.9542428,neg,Koelmel et al. 2022
C16F27O- ,720.9523514,neg,Koelmel et al. 2022
C20H5F20O4S- ,720.959469,neg,Koelmel et al. 2022
C16H18F17N2O6S2- ,721.0340292,neg,Koelmel et al. 2022
C14H2F25SO3- ,724.9330962,neg,Koelmel et al. 2022
C17H3F24SO2- ,726.9476026,neg,Koelmel et al. 2022
C15HF28O- ,728.9585792,neg,Koelmel et al. 2022
C15H4SF27- ,728.9608068,neg,Koelmel et al. 2022
C13F26SO3- ,729.9158502,neg,Koelmel et al. 2022
C13HF26SO3- ,730.9236748,neg,Koelmel et al. 2022
C15F29- ,730.9542428,neg,Koelmel et al. 2022
C13F27SO2- ,732.9193384,neg,Koelmel et al. 2022
C17H3F26S- ,732.954579,neg,Koelmel et al. 2022
C17H3F26S- ,732.954579,neg,Koelmel et al. 2022
C16H8F23O4S- ,732.9781524,neg,Koelmel et al. 2022
C16H12F23N2O2S- ,733.0257688,neg,Koelmel et al. 2022
C15H9F23O3N2S- ,733.99721,neg,Koelmel et al. 2022
C14F29O- ,734.9491578,neg,Koelmel et al. 2022
C17H20F17N2O6S2- ,735.0496784,neg,Koelmel et al. 2022
C18H17F19O4NS2- ,736.030107,neg,Koelmel et al. 2022
C17HF28- ,736.9636642,neg,Koelmel et al. 2022
C16H6F25SO2- ,736.9694796,neg,Koelmel et al. 2022
C15H5F25NO2S- ,737.964729,neg,Koelmel et al. 2022
C16H2SF27- ,738.9451576,neg,Koelmel et al. 2022
C15H6F25NO2S- ,738.9725536,neg,Koelmel et al. 2022
C14HF26SO3- ,742.9236748,neg,Koelmel et al. 2022
C22H3F20SO4- ,742.9438198,neg,Koelmel et al. 2022
C16F29- ,742.9542428,neg,Koelmel et al. 2022
C16F29- ,742.9542428,neg,Koelmel et al. 2022
C16F29- ,742.9542428,neg,Koelmel et al. 2022
C16H3F28O- ,742.9742284,neg,Koelmel et al. 2022
C15F29O- ,746.9491578,neg,Koelmel et al. 2022
C15F29O- ,746.9491578,neg,Koelmel et al. 2022
C17H4F25SO2- ,746.9538304,neg,Koelmel et al. 2022
C13HF27NO2S- ,747.930237,neg,Koelmel et al. 2022
C13F27SO3- ,748.9142534,neg,Koelmel et al. 2022
C17H8O2SF25- ,750.9851288,neg,Koelmel et al. 2022
C18H17F19O5NS2- ,752.025022,neg,Koelmel et al. 2022
C18H4F23O4S ,752.946854,neg,Koelmel et al. 2022
C17F29- ,754.9542428,neg,Koelmel et al. 2022
C17H18F19N2O5S2- ,755.0359206,neg,Koelmel et al. 2022
C11F27S2O3- ,756.8863254,neg,Koelmel et al. 2022
C16F29O- ,758.9491578,neg,Koelmel et al. 2022
C16F29O- ,758.9491578,neg,Koelmel et al. 2022
C16H3SF28- ,758.9513854,neg,Koelmel et al. 2022
C16H11F21NO5S2- ,759.9748808,neg,Koelmel et al. 2022
C14F27SO3- ,760.9142534,neg,Koelmel et al. 2022
C14H3F27NO2S- ,761.9458862,neg,Koelmel et al. 2022
C14H2F27SO3- ,762.9299026,neg,Koelmel et al. 2022
C15F29O2- ,762.9440728,neg,Koelmel et al. 2022
C22H4F21SO4- ,762.9500476,neg,Koelmel et al. 2022
C17H14F23N2O3S- ,763.036333,neg,Koelmel et al. 2022
C19H4F23O4S- ,764.946854,neg,Koelmel et al. 2022
C18F29- ,766.9542428,neg,Koelmel et al. 2022
C17H5F26SO2- ,766.9600582,neg,Koelmel et al. 2022
C16H8F25N2O2S- ,766.9912768,neg,Koelmel et al. 2022
C17F29O- ,770.9491578,neg,Koelmel et al. 2022
C17H18F19N2O6S2- ,771.0308356,neg,Koelmel et al. 2022
C15H2F27SO3- ,774.9299026,neg,Koelmel et al. 2022
C18H3F26SO2- ,776.944409,neg,Koelmel et al. 2022
C15F29O3- ,778.9389878,neg,Koelmel et al. 2022
C16HF30O- ,778.9553856,neg,Koelmel et al. 2022
C16H4SF29- ,778.9576132,neg,Koelmel et al. 2022
C14F28SO3- ,779.9126566,neg,Koelmel et al. 2022
C14HF28SO3- ,780.9204812,neg,Koelmel et al. 2022
C16F31- ,780.9510492,neg,Koelmel et al. 2022
C14F29SO2- ,782.9161448,neg,Koelmel et al. 2022
C18H3F28S- ,782.9513854,neg,Koelmel et al. 2022
C22H5F22O4S- ,782.9562754,neg,Koelmel et al. 2022
C17H8F25O4S- ,782.9749588,neg,Koelmel et al. 2022
C17H12F25N2O2S- ,783.0225752,neg,Koelmel et al. 2022
C16H9F25O3N2S- ,783.9940164,neg,Koelmel et al. 2022
C18H20F19N2O6S2- ,785.0464848,neg,Koelmel et al. 2022
C19H17F21O4NS2- ,786.0269134,neg,Koelmel et al. 2022
C18HF30- ,786.9604706,neg,Koelmel et al. 2022
C17H6F27SO2- ,786.966286,neg,Koelmel et al. 2022
C16H5F27NO2S- ,787.9615354,neg,Koelmel et al. 2022
C16H6F27NO2S- ,788.96936,neg,Koelmel et al. 2022
C15HF28SO3- ,792.9204812,neg,Koelmel et al. 2022
C17H3F30O- ,792.9710348,neg,Koelmel et al. 2022
C18H4F27SO2- ,796.9506368,neg,Koelmel et al. 2022
C14HF29NO2S- ,797.9270434,neg,Koelmel et al. 2022
C14F29SO3- ,798.9110598,neg,Koelmel et al. 2022
C18H8O2SF27- ,800.9819352,neg,Koelmel et al. 2022
C19H17F21O5NS2- ,802.0218284,neg,Koelmel et al. 2022
C19H4F25O4S ,802.9436604,neg,Koelmel et al. 2022
C24H3F22SO4- ,804.9406262,neg,Koelmel et al. 2022
C18F31- ,804.9510492,neg,Koelmel et al. 2022
C18H18F21N2O5S2- ,805.032727,neg,Koelmel et al. 2022
C12F29S2O3- ,806.8831318,neg,Koelmel et al. 2022
C17H11F23NO5S2- ,809.9716872,neg,Koelmel et al. 2022
C15H3F29NO2S- ,811.9426926,neg,Koelmel et al. 2022
C17F32- ,811.9494524,neg,Koelmel et al. 2022
C17F32- ,811.9494524,neg,Koelmel et al. 2022
C15H2F29SO3- ,812.926709,neg,Koelmel et al. 2022
C18H14F25N2O3S- ,813.0331394,neg,Koelmel et al. 2022
C20H4F25O4S- ,814.9436604,neg,Koelmel et al. 2022
C19F31- ,816.9510492,neg,Koelmel et al. 2022
C18H5F28SO2- ,816.9568646,neg,Koelmel et al. 2022
C17H8F27N2O2S- ,816.9880832,neg,Koelmel et al. 2022
C18F31O- ,820.9459642,neg,Koelmel et al. 2022
C18H18F21N2O6S2- ,821.027642,neg,Koelmel et al. 2022
C16H2F29SO3- ,824.926709,neg,Koelmel et al. 2022
C24H4F23SO4- ,824.946854,neg,Koelmel et al. 2022
C17F33- ,830.9478556,neg,Koelmel et al. 2022
C19H3F30S- ,832.9481918,neg,Koelmel et al. 2022
C18H8F27O4S- ,832.9717652,neg,Koelmel et al. 2022
C18H12F27N2O2S- ,833.0193816,neg,Koelmel et al. 2022
C17H9F27O3N2S- ,833.9908228,neg,Koelmel et al. 2022
C19H20F21N2O6S2- ,835.0432912,neg,Koelmel et al. 2022
C20H17F23O4NS2- ,836.0237198,neg,Koelmel et al. 2022
C18H6F29SO2- ,836.9630924,neg,Koelmel et al. 2022
C17H5F29NO2S- ,837.9583418,neg,Koelmel et al. 2022
C17H6F29NO2S- ,838.9661664,neg,Koelmel et al. 2022
C16HF30SO3- ,842.9172876,neg,Koelmel et al. 2022
C18H3F32O- ,842.9678412,neg,Koelmel et al. 2022
C24H5F24O4S- ,844.9530818,neg,Koelmel et al. 2022
C19H8O2SF29- ,850.9787416,neg,Koelmel et al. 2022
C20H17F23O5NS2- ,852.0186348,neg,Koelmel et al. 2022
C20H4F27O4S ,852.9404668,neg,Koelmel et al. 2022
C19H18F23N2O5S2- ,855.0295334,neg,Koelmel et al. 2022
C13F31S2O3- ,856.8799382,neg,Koelmel et al. 2022
C18H11F25NO5S2- ,859.9684936,neg,Koelmel et al. 2022
C19H14F27N2O3S- ,863.0299458,neg,Koelmel et al. 2022
C21H4F27O4S- ,864.9404668,neg,Koelmel et al. 2022
C26H3F24SO4- ,866.9374326,neg,Koelmel et al. 2022
C18H8F29N2O2S- ,866.9848896,neg,Koelmel et al. 2022
C19H18F23N2O6S2- ,871.0244484,neg,Koelmel et al. 2022
C19H8F29O4S- ,882.9685716,neg,Koelmel et al. 2022
C19H12F29N2O2S- ,883.016188,neg,Koelmel et al. 2022
C18H9F29O3N2S- ,883.9876292,neg,Koelmel et al. 2022
C20H20F23N2O6S2- ,885.0400976,neg,Koelmel et al. 2022
C21H17F25O4NS2- ,886.0205262,neg,Koelmel et al. 2022
C26H4F25SO4- ,886.9436604,neg,Koelmel et al. 2022
C21H17F25O5NS2- ,902.0154412,neg,Koelmel et al. 2022
C21H4F29O4S ,902.9372732,neg,Koelmel et al. 2022
C20H18F25N2O5S2- ,905.0263398,neg,Koelmel et al. 2022
C14F33S2O3- ,906.8767446,neg,Koelmel et al. 2022
C26H5F26O4S- ,906.9498882,neg,Koelmel et al. 2022
C19H11F27NO5S2- ,909.9653,neg,Koelmel et al. 2022
C20H14F29N2O3S- ,913.0267522,neg,Koelmel et al. 2022
C22H4F29O4S- ,914.9372732,neg,Koelmel et al. 2022
C20H18F25N2O6S2- ,921.0212548,neg,Koelmel et al. 2022
C28H3F26SO4- ,928.934239,neg,Koelmel et al. 2022
C21H20F25N2O6S2- ,935.036904,neg,Koelmel et al. 2022
C22H17F27O4NS2- ,936.0173326,neg,Koelmel et al. 2022
C28H4F27SO4- ,948.9404668,neg,Koelmel et al. 2022
C22H17F27O5NS2- ,952.0122476,neg,Koelmel et al. 2022
C22H4F31O4S ,952.9340796,neg,Koelmel et al. 2022
C21H18F27N2O5S2- ,955.0231462,neg,Koelmel et al. 2022
C20H11F29NO5S2- ,959.9621064,neg,Koelmel et al. 2022
C23H4F31O4S- ,964.9340796,neg,Koelmel et al. 2022
C28H5F28O4S- ,968.9466946,neg,Koelmel et al. 2022
C21H18F27N2O6S2- ,971.0180612,neg,Koelmel et al. 2022
C22H20F27N2O6S2- ,985.0337104,neg,Koelmel et al. 2022
C23H17F29O4NS2- ,986.014139,neg,Koelmel et al. 2022
C23H17F29O5NS2- ,1002.009054,neg,Koelmel et al. 2022
C23H4F33O4S ,1002.930886,neg,Koelmel et al. 2022
C22H18F29N2O5S2- ,1005.019953,neg,Koelmel et al. 2022
C24H4F33O4S- ,1014.930886,neg,Koelmel et al. 2022
C22H18F29N2O6S2- ,1021.014868,neg,Koelmel et al. 2022
C23H20F29N2O6S2- ,1035.030517,neg,Koelmel et al. 2022
C24H4F35O4S-,1052.927692,neg,Koelmel et al. 2022
C17H13F21O4PS2-,774.965755,neg,In-house
C15H13F17O4PS2-,674.972143,neg,In-house
C13H13F13O4PS2-,574.978531,neg,In-house
C11H13F9O4PS2-,474.984919,neg,In-house
CF7S-,176.960893,neg,In-house
C3H8N+,58.0651,pos,Barzen-Hanson et al. 2017
C3H9N+,59.073,pos,Barzen-Hanson et al. 2017
C3H10N+,60.0808,pos,Barzen-Hanson et al. 2017
C4H8N+,70.0651,pos,Barzen-Hanson et al. 2017
C4H9N+,71.073,pos,Barzen-Hanson et al. 2017
C4H10N+,72.0808,pos,Barzen-Hanson et al. 2017
C4H11N+,73.0886,pos,Barzen-Hanson et al. 2017
C5H10N+,84.0808,pos,Barzen-Hanson et al. 2017
C5H11N+,85.0886,pos,Barzen-Hanson et al. 2017
C5H12N+,86.0964,pos,Barzen-Hanson et al. 2017
C5H13N+,87.1043,pos,Barzen-Hanson et al. 2017
C4H12NO+,90.0913,pos,Barzen-Hanson et al. 2017
C6H12N+,98.0964,pos,Barzen-Hanson et al. 2017
C5H11N2+,99.0917,pos,Barzen-Hanson et al. 2017
C5H12NO+,102.0913,pos,Barzen-Hanson et al. 2017
C4H10NO2+,104.0706,pos,Barzen-Hanson et al. 2017
C5H10NO2+,116.0706,pos,Barzen-Hanson et al. 2017
C6H14NO+,116.107,pos,Barzen-Hanson et al. 2017
